event_id,ticker,creator,recommendation_type,top5_flag,low_lookahead_flag,duplicate_collapsed_flag,sec_clean_flag,actionability_score,interval,start_offset,end_offset,spy_interval_ar,spy_interval_car,right_censored,status,missing_price_reason
1845,NVDA,Best of Us Investors,buy,True,True,True,False,3,127_252,126,252,0.081002,0.085859,True,computed,
1845,NVDA,Best of Us Investors,buy,True,True,True,False,3,253_504,252,504,,,True,missing,insufficient_market_window
1845,NVDA,Best of Us Investors,buy,True,True,True,False,3,505_end_of_sample,504,end_of_sample,,,False,missing,insufficient_market_window
1846,META,Chris Sain,buy,False,True,True,True,3,0_5,0,5,0.007389,0.007859,False,computed,
1846,META,Chris Sain,buy,False,True,True,True,3,6_20,5,20,0.005132,0.006239,False,computed,
1846,META,Chris Sain,buy,False,True,True,True,3,21_63,20,63,0.002829,0.011997,False,computed,
1846,META,Chris Sain,buy,False,True,True,True,3,64_126,63,126,-0.182694,-0.177649,False,computed,
1846,META,Chris Sain,buy,False,True,True,True,3,127_252,126,252,-0.165712,-0.137174,True,computed,
1846,META,Chris Sain,buy,False,True,True,True,3,253_504,252,504,,,True,missing,insufficient_market_window
1846,META,Chris Sain,buy,False,True,True,True,3,505_end_of_sample,504,end_of_sample,,,False,missing,insufficient_market_window
1847,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,0_5,0,5,-0.011087,-0.009849,False,computed,
1847,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,6_20,5,20,0.038498,0.041494,False,computed,
1847,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,21_63,20,63,0.109039,0.106481,False,computed,
1847,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,64_126,63,126,0.439565,0.381740,False,computed,
1847,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,127_252,126,252,-0.148317,-0.085387,False,computed,
1847,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,253_504,252,504,-0.389411,-0.288247,False,computed,
1847,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,505_end_of_sample,504,end_of_sample,0.793689,0.811623,False,computed,
1849,AMZN,Chicken Genius Singapore,sell,True,True,True,True,3,0_5,0,5,0.018459,0.022140,False,computed,
1849,AMZN,Chicken Genius Singapore,sell,True,True,True,True,3,6_20,5,20,-0.003505,-0.001505,False,computed,
1849,AMZN,Chicken Genius Singapore,sell,True,True,True,True,3,21_63,20,63,0.024779,0.033644,False,computed,
1849,AMZN,Chicken Genius Singapore,sell,True,True,True,True,3,64_126,63,126,-0.155968,-0.146736,False,computed,
1849,AMZN,Chicken Genius Singapore,sell,True,True,True,True,3,127_252,126,252,0.004902,0.013993,False,computed,
1849,AMZN,Chicken Genius Singapore,sell,True,True,True,True,3,253_504,252,504,-0.270129,-0.272653,False,computed,
1849,AMZN,Chicken Genius Singapore,sell,True,True,True,True,3,505_end_of_sample,504,end_of_sample,0.293986,0.306726,False,computed,
1850,TSLA,Chicken Genius Singapore,buy,True,True,True,True,4,0_5,0,5,0.034947,0.037115,False,computed,
1850,TSLA,Chicken Genius Singapore,buy,True,True,True,True,4,6_20,5,20,0.486335,0.401509,False,computed,
1850,TSLA,Chicken Genius Singapore,buy,True,True,True,True,4,21_63,20,63,0.422617,0.436590,False,computed,
1850,TSLA,Chicken Genius Singapore,buy,True,True,True,True,4,64_126,63,126,0.412634,0.355916,False,computed,
1850,TSLA,Chicken Genius Singapore,buy,True,True,True,True,4,127_252,126,252,-0.256171,-0.164825,False,computed,
1850,TSLA,Chicken Genius Singapore,buy,True,True,True,True,4,253_504,252,504,0.238126,0.404977,False,computed,
1850,TSLA,Chicken Genius Singapore,buy,True,True,True,True,4,505_end_of_sample,504,end_of_sample,-0.200234,0.509202,False,computed,
1851,TSLA,Chicken Genius Singapore,buy,True,True,True,False,3,0_5,0,5,-0.012627,-0.012545,False,computed,
1851,TSLA,Chicken Genius Singapore,buy,True,True,True,False,3,6_20,5,20,0.498744,0.418291,False,computed,
1851,TSLA,Chicken Genius Singapore,buy,True,True,True,False,3,21_63,20,63,0.321972,0.353438,False,computed,
1851,TSLA,Chicken Genius Singapore,buy,True,True,True,False,3,64_126,63,126,0.367085,0.336717,False,computed,
1851,TSLA,Chicken Genius Singapore,buy,True,True,True,False,3,127_252,126,252,-0.185009,-0.082011,False,computed,
1851,TSLA,Chicken Genius Singapore,buy,True,True,True,False,3,253_504,252,504,0.213267,0.375397,False,computed,
1851,TSLA,Chicken Genius Singapore,buy,True,True,True,False,3,505_end_of_sample,504,end_of_sample,-0.082405,0.578653,False,computed,
1852,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,0_5,0,5,0.103405,0.109600,False,computed,
1852,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,6_20,5,20,0.419697,0.354940,False,computed,
1852,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,21_63,20,63,0.394304,0.365172,False,computed,
1852,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,64_126,63,126,0.392017,0.391162,False,computed,
1852,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,127_252,126,252,-0.140247,-0.032987,False,computed,
1852,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,253_504,252,504,0.193098,0.338328,False,computed,
1852,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,505_end_of_sample,504,end_of_sample,-0.036306,0.601458,False,computed,
1853,TSLA,Chicken Genius Singapore,buy,True,True,True,False,3,0_5,0,5,-0.000065,0.002625,False,computed,
1853,TSLA,Chicken Genius Singapore,buy,True,True,True,False,3,6_20,5,20,0.116400,0.123835,False,computed,
1853,TSLA,Chicken Genius Singapore,buy,True,True,True,False,3,21_63,20,63,1.041415,0.700768,False,computed,
1853,TSLA,Chicken Genius Singapore,buy,True,True,True,False,3,64_126,63,126,0.281723,0.328996,False,computed,
1853,TSLA,Chicken Genius Singapore,buy,True,True,True,False,3,127_252,126,252,-0.097588,0.007399,False,computed,
1853,TSLA,Chicken Genius Singapore,buy,True,True,True,False,3,253_504,252,504,0.218467,0.355303,False,computed,
1853,TSLA,Chicken Genius Singapore,buy,True,True,True,False,3,505_end_of_sample,504,end_of_sample,-0.138053,0.550904,False,computed,
1854,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,0_5,0,5,0.065207,0.064457,False,computed,
1854,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,6_20,5,20,0.086071,0.089345,False,computed,
1854,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,21_63,20,63,0.968779,0.690515,False,computed,
1854,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,64_126,63,126,0.159619,0.228101,False,computed,
1854,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,127_252,126,252,0.034220,0.127972,False,computed,
1854,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,253_504,252,504,0.153508,0.297790,False,computed,
1854,TSLA,Chicken Genius Singapore,buy,True,True,True,True,3,505_end_of_sample,504,end_of_sample,0.002913,0.636107,False,computed,
1855,GOOGL,The Plain Bagel,buy,False,False,True,False,3,0_5,0,5,-0.001740,-0.001544,False,computed,
1855,GOOGL,The Plain Bagel,buy,False,False,True,False,3,6_20,5,20,0.011096,0.010984,False,computed,
1855,GOOGL,The Plain Bagel,buy,False,False,True,False,3,21_63,20,63,0.025836,0.027024,False,computed,
1855,GOOGL,The Plain Bagel,buy,False,False,True,False,3,64_126,63,126,0.048970,0.060603,False,computed,
