event_id,ticker,event_date,recommendation_type,top5_flag,yf_snapshot_available,yf_event_time_usable,yf_diagnostic_current_only,yf_provider_status,yf_error_class_safe,yf_recommendation_key_current,yf_recommendation_mean_current,yf_number_of_analysts_current,yf_target_mean_current,yf_target_median_current,yf_target_high_current,yf_target_low_current,yf_target_upside_vs_event_price_current,yf_current_bullish_aligned,yf_current_bearish_aligned,yf_current_neutral_or_mixed,yf_current_contrarian_to_finfluencer,yf_analyst_relay_likely_diagnostic,yf_latest_recommendation_date_pre_event,yf_latest_firm_pre_event,yf_latest_to_grade_pre_event,yf_latest_from_grade_pre_event,yf_latest_recommendation_action_pre_event,yf_recent_upgrade_pre_event,yf_recent_downgrade_pre_event,yf_consensus_bucket_event_time_if_available,yf_event_time_bullish_aligned,yf_event_time_bearish_aligned,yf_event_time_neutral_or_mixed,yf_event_time_contrarian_to_finfluencer,yf_analyst_relay_likely_event_time
85,NVDA,2023-07-24,sell,True,True,True,False,ok,,strong_buy,1.29508,57.0,272.93738,275.0,380.0,140.0,5.1228082740500005,False,False,False,True,True,2023-07-24,Mizuho,,,main,False,False,unknown,False,False,False,False,False
86,NVDA,2023-07-24,sell,True,True,True,False,ok,,strong_buy,1.29508,57.0,272.93738,275.0,380.0,140.0,5.1228082740500005,False,False,False,True,True,2023-07-24,Mizuho,,,main,False,False,unknown,False,False,False,False,False
87,GOOGL,2025-08-20,buy,False,True,True,False,ok,,strong_buy,1.39683,52.0,427.88712,430.0,515.0,334.22,1.1515734935879802,True,False,False,False,True,2025-08-05,Loop Capital,,,main,False,False,unknown,False,False,False,False,False
88,META,2026-02-24,buy,False,True,False,True,ok,,strong_buy,1.34921,58.0,826.69104,825.0,1015.0,614.0,0.2942262408479961,True,False,False,False,True,,,,,,,,,,,,,
89,GOOGL,2023-03-17,buy,False,True,True,False,ok,,strong_buy,1.39683,52.0,427.88712,430.0,515.0,334.22,3.24545964764454,True,False,False,False,True,2023-03-17,Exane BNP Paribas,,,up,False,False,unknown,False,False,False,False,False
90,GOOGL,2023-03-17,buy,False,True,True,False,ok,,strong_buy,1.39683,52.0,427.88712,430.0,515.0,334.22,3.24545964764454,True,False,False,False,True,2023-03-17,Exane BNP Paribas,,,up,False,False,unknown,False,False,False,False,False
91,AAPL,2023-03-17,buy,True,True,True,False,ok,,buy,1.95833,43.0,308.06512,310.0,400.0,215.0,1.0181680611183563,True,False,False,False,True,2023-03-10,Needham,,,reit,False,False,unknown,False,False,False,False,False
92,AAPL,2023-03-17,sell,True,True,True,False,ok,,buy,1.95833,43.0,308.06512,310.0,400.0,215.0,1.0181680611183563,False,False,False,True,True,2023-03-10,Needham,,,reit,False,False,unknown,False,False,False,False,False
93,NFLX,2023-03-17,buy,False,True,True,False,ok,,buy,1.68,44.0,114.555,115.0,151.4,80.0,2.774464532459837,True,False,False,False,True,2023-03-16,Citigroup,,,main,False,False,unknown,False,False,False,False,False
94,NVDA,2023-03-17,buy,True,True,True,False,ok,,strong_buy,1.29508,57.0,272.93738,275.0,380.0,140.0,9.619202016287332,True,False,False,False,True,2023-03-17,Morgan Stanley,,,up,False,False,unknown,False,False,False,False,False
